可	a
𣡩	abob
𬽠	abob
𠬝	aboj
𰀈	abok
权	abom
𰗒	abom
𱣋	abpf
𣐕	abpg
𣡃	abpg
𩫋	abpg
樳	abph
𣚑	abpl
柀	abpm
𭫷	abqc
𪴕	abqj
𮮼	abqj
𱤥	abqo
𣖕	abqs
㰘	abqs
㰘	abqs
㭈	abre
髛	abrj
𣐊	abrj
𡱀	absg
榐	absm
樋	abso
𪳆	abss
桶	absy
㯑	abuc
𩰧	abuc
𧘨	abug
𬅜	abuh
𣏖	abus
𰘰	abvb
櫇	abvj
𰘕	abwb
㮭	abwg
椲	abwm
𪲯	abwu
㭾	abww
梫	abxb
𣖽	abxb
𢑸	abxu
𰁓	abxy
梮	abyl
𭪐	abym
刺	ac
棘	aca
𪴖	acaa
棘	acac
棗	acac
𣝯	acac
𣡍	acac
𬅏	acah
𬅘	acah
𤏡	acai
𪴜	acaj
𫼄	acak
𪲸	acal
𬃔	acal
𣒡	acam
僰	acar
𢠖	acar
𭞧	acar
𠢠	acas
𠒧	acaw
𣕖	acba
𭬵	acbb
𱣳	acbb
樰	acbj
𪱷	acbm
𪴐	acbo
𭩯	acbo
𣔓	acbp
樱	accc
𫿻	accd
𢒲	accp
𣛝	acdj
𪀜	acdn
㰌	aceh
柵	acem
𣑭	acem
𣒃	aces
𪲕	acfb
𠀵	acfc
樗	acfh
𣑭	acfi
𮲶	acfk
桐	acfl
𣔥	acfp
𱹌	acfq
𣛲	acgh
𪓫	acgm
𣐨	acgn
𱤰	acgr
柟	acht
𣘊	achz
槾	acib
樶	acib
桁	acic
𮕫	acig
𣔺	acij
橒	acin
枣	acir
枏	acir
𠄬	acir
𠱗	acir
榻	aciv
𣓍	aciw
𧵩	acjb
𣘱	acjh
𧠵	acjj
𧢔	acjj
枧	acjm
𧚞	ackg
𰗴	ackj
朿	ackm
枘	ackr
𪴟	acks
𣠚	ackv
𣖹	aclf
櫺	acll
𣠄	acll
𣔲	aclo
欞	aclr
𣠌	aclu
䯧	aclv
𣐒	aclv
𩫌	aclv
刺	acmd
𱣐	acmd
刺	acmd
𪑟	acmg
𰅆	acmg
𦖝	acml
𦖨	acml
𧌐	acmq
𰼶	acmt
椼	acni
𪱴	acnm
𫧦	acnu
𨒪	acoc
柍	acod
𱍒	acod
𬽏	acog
𣖮	acou
𬅼	acpi
杉	acpm
𣘩	acpp
𫞋	acqp
𧑖	acqq
棢	acqt
棡	acqu
㯪	acrb
𣐶	acrc
枘	acre
𭪣	acrn
樅	acrp
𱣑	acrr
𥂬	acru
𥃀	acru
欁	acsa
𬄪	acsa
㭎	acsi
椣	acsk
檂	acsm
𪲇	acso
𪴠	acso
𪴀	acsq
檽	acsr
𢛱	acsr
𣙡	acss
𬅒	acsu
欛	acsw
𧜌	actg
敇	actp
𢿋	actp
𭣯	acub
𱣈	acub
𤫷	acug
𣛪	acvj
𫖟	acvj
𣔧	acvs
檑	acvt
𧚞	acwg
𤡎	acwh
𥂶	acwu
𭭇	acxq
𣔯	acym
丁	ad
𣟬	adaj
椞	adam
㯗	adam
𣘖	adam
𬄄	adam
𣓅	adam
欄	adaq
欄	adaq
柏	adbm
板	adbo
𣜌	adbs
𨧸	adbt
𣡥	adca
楄	adce
𠆠	adci
𠆡	adci
𣠪	adci
𣡿	adci
𱤶	adci
亹	adcj
𬅊	adck
𭺏	adck
𣕄	adcl
𣒞	adcm
丁	add
皙	addb
槥	addb
棩	addf
𣓠	addh
𣠙	addi
櫍	addj
𣙒	addj
桘	addm
𪁻	addn
櫘	addr
𭫟	adem
𫞌	ades
栀	adfa
𪲀	adfi
𱣠	adfi
梹	adfk
𬃦	adfk
𪲉	adfl
㭋	adfm
梔	adfo
𣔆	adfp
𬄂	adfp
𣛣	adfs
𬃆	adfu
𬄁	adfu
栃	adfw
𣨗	adfx
𬃊	adgc
𣙾	adgh
椑	adgi
𣏸	adgi
𣔈	adgi
𩫝	adgi
楯	adgj
槐	adgm
𣜲	adgo
𪴃	adgo
𠆇	adgo
栧	adgp
裒	adgy
褢	adgy
㭛	adgy
𧙏	adgy
櫸	adha
梼	adhc
槫	adhc
𣟱	adhd
𫧔	adhe
檓	adhe
欅	adhf
𣘥	adhg
𧚌	adhg
槠	adhj
梬	adhk
枦	adhm
棙	adhq
梉	adhs
檪	adia
𰘟	adic
櫆	adig
槹	adig
𬃐	adig
桕	adim
𱣟	adim
𣜝	adjk
析	adjm
晳	adjr
橺	adjr
𣇮	adjr
楻	adjw
橍	adjw
𣑳	adka
柝	adkd
𣟪	adkh
𣚙	adkk
𱤖	adkk
𱱁	adkv
𣘛	adkw
𬄉	adkx
櫚	adld
櫚	adll
槴	adlo
𠵍	adlv
𣙎	adlv
椡	admd
㮮	admf
椚	admm
楔	admo
𣚃	admo
櫟	adna
𣕏	adna
梎	adnb
梎	adnb
𩾚	adnd
鶮	adng
𪁚	adng
鶆	adnl
樢	adnm
楾	adns
𪵿	adns
槪	adnw
𣠸	adnw
槌	adoc
槤	adoc
𣔅	adoc
𣔴	adoc
𣖐	adoc
𣚢	adoc
𮞝	adoc
𠅲	adod
槔	adog
柚	adom
㰉	adom
檓	adpe
梆	adpf
𭪸	adpf
𣕕	adpg
㭊	adpm
𪳡	adpn
𣠗	adpu
蜤	adqc
𧎀	adqc
𠆇	adqo
橷	adqw
𭬸	adqx
楰	adre
𬽑	adre
橞	adri
惁	adri
𢜣	adri
𣟨	adrj
𣛻	adsa
𱅹	adsg
㭡	adsi
𪴤	adsj
㰒	adsk
𣐧	adsk
𬂿	adsl
柛	adsm
𨑋	adsm
㮰	adsn
𣔬	adss
𠆟	adst
𣙺	adst
𰘮	adta
𣚾	adte
𫞊	adtf
椖	adtf
櫊	adtl
㮹	adtp
𢽒	adtp
樬	adtr
檄	adtt
㮴	adub
𣟴	adug
榹	aduh
𬃤	aduh
棉	aduj
㰃	aduo
槝	adus
𣠼	advc
𣜊	advj
𥓊	advs
𥖸	advs
𬄵	advs
㮼	advv
𰙀	adwa
㯍	adwh
𠅵	adwh
𣚔	adwi
㮧	adwm
棿	adwr
橌	adwy
𣓖	adwy
𬛕	adwy
𣡞	adxb
櫩	adxd
梍	adxi
𬂭	adxm
𣔙	adxq
𣞌	adxw
𣐖	adyi
桎	adzm
𬡭	aeag
𭫚	aeag
𡮎	aeai
𣒍	aeal
𣐾	aeam
𣑫	aeam
𣛜	aeam
㮢	aebj
柭	aebk
梻	aebk
𮪹	aebk
𣏘	aebo
𪲼	aeby
檇	aeck
𭫥	aecl
𭬥	aecl
𢜖	aecr
𬂺	aedb
𩲋	aedg
𬄑	aedj
𰃄	aedm
䲳	aedn
𩿤	aedn
欆	aeeb
𨾒	aeeh
𪜤	aeeh
𣎹	aeei
𣏭	aeez
𣝲	aefd
楓	aefm
𠅜	aefm
楩	aefs
𠅚	aefs
𠡅	aefs
𣔤	aefs
𣑲	aefu
𱣱	aegc
榫	aegi
樌	aegj
槜	aegn
𰗗	aegn
𦇨	aego
𭪌	aegu
𬡡	aegy
柎	aehc
𱤣	aehj
椎	aehm
㮅	aehm
栿	aehq
𣐴	aehs
𰘍	aehw
樵	aeib
𬋈	aeib
𣛑	aeih
𪲄	aeih
𱎙	aeil
札	aeim
㯷	aeio
𡙚	aeio
𣏴	aeir
𱣃	aeir
𰁠	aeis
亱	aejf
亮	aejg
𮕻	aejg
𱅵	aejg
亮	aejg
机	aejm
𣒦	aejm
亢	aejt
杖	aekd
杋	aekd
𪜠	aekd
杖	aekd
栰	aekg
㭖	aeki
𩛳	aekk
𪲊	aekk
𱤆	aekl
𮲯	aekr
𤕚	aeks
椺	aela
𠆅	aela
𪲴	aela
椴	aele
褒	aelg
𭪽	aelj
槗	aell
𲄅	aelp
𣖻	aelu
𣐞	aelv
𠲯	aelv
𣑌	aeml
栂	aemm
𫛠	aemn
栣	aemr
𣫭	aemt
杹	aenb
𭩝	aenb
桦	aeng
椂	aens
𠅣	aent
𡕧	aent
迒	aeoc
𣛎	aeoc
𩫀	aeod
𭩬	aeoe
𱤄	aeol
㮉	aeoq
紮	aeos
邟	aepf
𪱺	aepg
𱣓	aepg
𬄭	aepo
楕	aepw
蚻	aeqc
㰘	aeqs
𣟗	aeqs
㰘	aeqs
𢡫	aeri
𣞚	aerp
㼚	aerw
毃	aesg
枫	aesi
柭	aesk
𮪹	aesk
劥	aesl
杸	aesm
𬂬	aetf
𭏷	aeth
𭫺	aetp
欚	aetq
𭬧	aetq
椽	aets
𩫞	aets
樤	aeua
𣘀	aeuc
𣑊	aeuh
柨	aeuj
栫	aeuk
𫞏	aeul
𪳴	aeun
𪙯	aeup
樇	aeuw
颃	aevc
頏	aevj
𩫚	aevu
𦐄	aevv
𠅺	aewa
𣖈	aewa
𪳊	aewa
𧝥	aewg
𬡑	aewg
𭬘	aewi
𫞎	aewl
㮋	aewp
栯	aewy
鵺	aexd
𭑁	aexd
𨿤	aexe
𧚤	aexg
𭎲	aexh
夜	aexk
㖱	aexl
𡖵	aexl
𭐿	aexl
𱘩	aexl
𭐺	aexm
𲍿	aexm
𭐻	aexn
𭯑	aexn
㰠	aexq
𬂃	aexw
𣔢	aexx
本	af
棲	afbc
梧	afbl
𣓉	afbp
𬂡	afbw
𭫾	afca
𭬓	afca
𣖀	afcb
𪲔	afcc
𣒯	afcf
欐	afcm
柄	afcr
𠅈	afcr
𣐛	afek
枑	afem
𪲻	affd
𬂠	affo
㲤	afgm
栊	afgp
衰	afgy
𬂹	afgy
杅	afhc
𧘎	afhg
𧘘	afhg
𣖖	afhh
杇	afhk
𣐣	afig
卫	afij
本	afim
𠥽	afim
𣎶	afim
𬂜	afim
𪲆	afir
桓	afjf
𱅻	afjf
𣚐	afji
𣕻	afjm
𨕹	afjo
梗	afjs
椏	afka
𠆊	afka
𣒘	afka
栈	afkg
𣙴	afkl
𣓸	afkp
𬄚	afkr
檷	afks
𣝧	afks
𣕒	aflb
𠆀	aflg
𣙞	aflg
𡬾	aflh
𣗳	aflh
𱣾	aflh
𣞥	aflj
㮺	afll
桱	aflp
梪	aflq
𪲓	aflq
𣘅	aflt
槅	aflu
𭪚	aflu
𰘇	aflu
楅	aflv
杬	aflw
枺	afmm
𣏇	afna
𣏳	afna
𭪱	afna
𧚍	afng
𣖭	afnh
㮷	afnj
榗	afnj
梂	afnk
𭫣	afnt
𣏿	afod
𣜂	afof
㮇	afok
𭪇	afol
𣏞	afom
柾	afpi
㯊	afpi
𪴺	afpi
梾	afqm
亵	afrg
𧜸	afrg
𣗂	afsa
𣕭	afsh
杽	afsm
㭢	afsm
枅	afso
枅	afso
𪲳	afua
𩇶	afuf
𣐈	afug
杮	afuj
𣓈	afuk
𣒎	afus
𱣜	afva
橿	afvf
𩒅	afvj
翉	afvv
杤	afwb
𠾂	afwl
㭑	afwm
𣐸	afwr
𣔒	afwy
𧙩	afxg
𱣽	afxi
𱣴	afxk
栵	afxm
𣨻	afxn
𩫓	afxn
𫯹	afxo
𪲐	afxp
𩫎	afxu
𬒟	afxv
𱣁	afxx
高	ag
⾼	ag
𭬂	agac
㰏	agag
𧜊	agaj
𣑻	agak
𣘠	agal
桗	agam
𣞮	agao
𧛉	agat
櫛	agba
𬴟	agba
櫛	agba
𮫗	agbb
棲	agbc
𪂅	agbd
𬄏	agbg
𡍁	agbh
𩓡	agbj
𣖌	agbk
𧞴	agbl
枝	agbo
𫾣	agbo
𣙨	agbp
𧌔	agbq
楹	agbu
㟚	agbu
𣞂	agbu
𧞥	agcc
𣔎	agce
楠	agcg
𣒰	agch
𬄬	agch
𰗝	agcj
𧘉	agck
裔	agcl
𮕺	agcl
𣝳	agcn
𨘆	agco
𮶿	agcr
𭬣	agda
𣝁	agdg
𣠘	agdg
𣠰	agdj
𪀰	agdn
𱈴	agdn
𪴧	agdq
柹	ageg
𣘧	ageh
𣏱	agei
𣏆	agej
𧘊	agej
𬂢	agek
梅	agem
梅	agem
梅	agem
𣛏	ager
𣙕	aget
𪴅	agfa
権	agfe
柸	agfi
𱬤	agfi
𣠤	agfj
𣘷	agfk
𧛌	agfk
𪲘	agfk
𭫗	agfn
𣞬	agfo
𣖍	agfp
𩫔	agfp
𭪉	agfp
高	agg
⾼	agg
𱤨	aggg
杵	aggi
䘚	aggi
根	aggm
櫷	aggm
𣛐	aggo
𰘎	aggo
𭬁	aggr
𬽍	aggu
㭚	aggy
𣔫	aghh
𣛆	aghh
𣛖	aghh
櫡	aghj
𣠱	aghj
𣡔	aghj
𡏒	aght
𣒻	aght
𣞪	aght
𣙖	aghu
𣛈	aghu
𣟢	aghu
𣡓	aghu
𪴌	agib
𠅊	agig
𣐰	agih
𣝎	agii
𠥿	agij
𣝃	agip
𭬕	agja
𭪏	agjg
𪴡	agji
㰜	agjj
槙	agjk
橶	agjk
𭭃	agjk
𰘆	agjk
檊	agjn
𣠹	agjo
植	agjq
𣚅	agjr
𣝶	agjs
椱	agjt
𣛨	agjw
𬻩	agjx
极	agkd
𪳾	agkd
𣝫	agke
㰇	agkf
𣚸	agkg
𣔮	agkh
樦	agkj
𣛩	agkj
𣝕	agkk
𣖋	agkl
𣙫	agkl
𨔼	agko
𱤐	agkq
𩛚	agks
𬅚	agku
𪱿	agkz
𱣌	agkz
𣟄	agla
𣠻	agla
𣓡	agld
𩀖	agle
𣞯	aglf
欜	aglg
𣝄	aglk
𬃙	aglm
𰘧	aglm
桮	aglv
𠜆	agmd
𣙭	agml
𭬌	agmm
𣏈	agna
𣟹	agnc
𣔼	agng
𣜤	agng
𣟔	agnh
𭬾	agnh
𣘜	agnl
㭁	agnm
𣖰	agnn
𣗔	agoc
柂	agoe
柣	agof
袠	agog
𭬤	agon
柉	agoz
𭬬	agpa
梴	agpg
𣠓	agpj
楀	agqc
𪴓	agqe
㭔	agqh
樯	agql
櫤	agqm
𣏙	agqm
橎	agqv
㯚	agrh
𣖯	agri
𪫳	agri
𣛩	agrj
𣠺	agrq
𡖍	agrx
𣞫	agsa
𭪷	agsa
𭫏	agsa
𰗺	agsc
𪲙	agsh
橅	agsi
橨	agsj
𣜪	agsk
𣡅	agsk
𣓤	agsl
枡	agso
枿	agso
𩫆	agso
𧙚	agsy
𣛗	agtl
𣠑	agto
𣠊	agua
柞	agub
𣛓	aguc
𣞯	aguf
𣠉	aguf
𱤪	agug
𱤩	aguj
𣘺	agul
杯	agum
桖	agum
㮎	agum
檱	aguq
𣗍	aguq
㯖	agur
𱤘	agut
𮨖	agvj
𬄒	agvn
𣕨	agvt
𬂯	agvt
栴	agwa
𣟣	agwd
𣙾	agwh
橁	agwj
𣏕	agwk
𣙱	agwl
𧙌	agwo
𣞛	agwt
𣑛	agwy
𧘯	agwy
𧛁	agxg
亳	agxi
杔	agxi
桲	agxk
𣓽	agxn
㮦	agxo
𪯒	agxt
𱣔	agya
哀	agyg
𮪸	agyg
杚	agyi
椟	agyo
𣒀	agyp
衣	agyt
⾐	agyt
衣	agyt
𣑥	ahad
𫯄	ahah
𣓅	aham
𧞗	ahbg
樫	ahbh
𱤬	ahbj
柜	ahbo
𣝌	ahbo
𣔡	ahbp
楄	ahce
𣕄	ahcl
村	ahcm
𬂝	ahcm
𬄈	ahdc
㮜	ahdh
𫇒	ahdi
𣗉	ahdx
𣕬	ahee
𣙯	aheh
𱣛	aheh
栕	ahem
𣐵	ahem
𣕬	ahem
𰒛	aher
𰘵	aheu
𭬨	ahfm
𣑙	ahfu
欖	ahgj
㰓	ahgj
㰖	ahgj
材	ahgp
檻	ahgu
𣡶	ahgu
衺	ahgy
𣓻	ahgy
樹	ahhc
㭙	ahhc
𣓠	ahhh
𭵣	ahhi
栲	ahhk
橈	ahhl
𪲶	ahhl
𬴝	ahhl
枦	ahhm
棙	ahhq
𤞷	ahhq
𭫞	ahhq
𰘙	ahhq
𬃰	ahhr
桂	ahht
㙬	ahht
𨬇	ahht
𨮲	ahht
𱣧	ahhu
𬃐	ahig
梑	ahih
𣠃	ahii
樍	ahjb
椻	ahjc
𣕩	ahjc
𣚼	ahjc
𬄊	ahjh
𠅰	ahjn
𣟌	ahjn
𣛭	ahjp
𣟍	ahjq
楮	ahjr
𪳌	ahjs
𣝽	ahjt
框	ahjw
㯘	ahjx
樾	ahke
褻	ahkg
𣔭	ahkh
㰊	ahki
𱤮	ahki
槸	ahkk
𧹚	ahkk
𪲒	ahkk
朽	ahkm
棱	ahkt
𪳞	ahkt
㭳	ahkz
𣓊	ahlb
𮲺	ahlc
檯	ahld
極	ahlf
𱣵	ahlf
榬	ahlg
櫃	ahlj
𬅁	ahlj
樞	ahll
𣞸	ahll
𱒷	ahln
槴	ahlo
𭬛	ahlq
𮔼	ahlq
桔	ahlv
橲	ahlv
㯧	ahml
㭕	ahna
𣒗	ahna
𣝒	ahna
栳	ahnb
𠅸	ahnb
𦓄	ahnb
𭬔	ahnf
𣡬	ahng
榰	ahnj
𣓹	ahnp
榼	ahnu
𨓣	ahoc
𭪆	ahoc
𰻎	ahoc
𣜠	ahoi
榡	ahos
𪙤	ahpc
㭨	ahpf
𲀯	ahpg
𨁥	ahpz
𭫆	ahqc
䙝	ahqg
𩫈	ahqg
𪲟	ahqg
𭬃	ahqj
𣙀	ahqk
猌	ahql
枤	ahqm
橽	ahqo
憖	ahr
憖	ahri
梽	ahri
𢚳	ahri
亴	ahrj
檣	ahrl
𣘉	ahrl
𣞘	ahrq
𪳋	ahrr
𣡛	ahsd
枢	ahsi
𣘗	ahsl
𰘮	ahta
椖	ahtf
㙜	ahtg
杜	ahtm
𡉣	ahtm
𭪄	ahtp
𬤾	ahts
𰘗	ahtt
榧	ahuf
𣟴	ahug
櫝	ahuj
𣐝	ahuj
𬃳	ahuu
㭱	ahvj
榸	ahvl
㮼	ahvv
𩻜	ahvv
褻	ahwg
𣔭	ahwh
𭪜	ahwi
㰊	ahwi
𱤮	ahwi
橬	ahwj
𫡺	ahwk
槸	ahwk
𣖓	ahwt
𰘗	ahwt
棱	ahwt
𣠟	ahwu
棈	ahwy
𣓖	ahwy
𬛕	ahwy
𣝔	ahxa
𣒆	ahxe
𣓘	ahxe
柩	ahxk
㯛	ahxk
𪳮	ahxq
𬂨	ahxu
𬂴	ahya
𰴆	ahyg
檮	ahyh
𣐖	ahyi
𬼦	ahyi
𣏛	ahyk
枒	ahym
𣝽	ahyt
𱣙	ahzm
就	ai
柠	aiad
橖	aiam
𣖉	aiam
𰗮	aiam
棺	aibb
𭴀	aibd
档	aibj
㯽	aibj
𤆖	aibk
杰	aibm
𣘕	aibu
𫖎	aibw
𣗈	aica
𪳃	aice
𧥛	aick
桉	aicn
𱹡	aicq
𣞐	aidi
槟	aidk
㮫	aidl
鶁	aidn
𬷛	aidn
𣝠	aido
𱣯	aido
櫶	aidr
𰗵	aids
榁	aidz
𩘁	aief
𣙜	aieh
𣏓	aiei
𫴺	aiei
樎	aiej
𪴎	aiej
𣏢	aiek
𣡐	aiel
𱣇	aiem
𱣢	aien
鷲	aifd
𪆩	aifd
𩀻	aife
楦	aiff
𰗤	aifh
𱘁	aifh
𤎼	aifi
𤏅	aifi
檳	aifj
𮚦	aifj
𣘹	aifk
𬄖	aifk
梡	aifl
𠅮	aifl
鹫	aifm
就	aifo
椗	aifp
蹵	aifp
𮕀	aifq
𣛟	aifs
𬅆	aigb
𣒹	aigc
𪲦	aigf
欓	aigh
枓	aigi
𩫄	aigi
𰂤	aigi
㮐	aigj
𣘽	aigk
杪	aigp
㭞	aigs
榨	aigu
㰂	aigv
𣘽	aigw
㭦	aigx
𤇯	aigy
𡬱	aihc
𣑋	aihc
𤆉	aihd
𤌾	aihg
㮫	aihl
𣏹	aihm
𤆰	aihm
𨟐	aihp
𣔻	aihq
櫶	aihr
樘	aiht
㙶	aiht
𬽄	aiht
𣄵	aihw
橕	aihy
𬻣	aihy
𣞁	aiia
𣟕	aiia
𣔱	aiib
𬊧	aiib
𡣹	aiic
櫿	aiid
橩	aiie
𣜧	aiig
棪	aiih
𭶟	aiih
𱤙	aiii
𮯳	aiii
𪜅	aiik
檆	aiil
櫿	aiil
𫢂	aiip
橯	aiis
髝	aiis
𣖷	aiiw
𭫖	aijb
𪲩	aijf
𤏇	aiji
𣠦	aijj
𪴥	aijj
𣙣	aijk
𬃏	aijk
𠅿	aijm
𣘔	aijo
椬	aijq
𱹙	aijq
棕	aijs
𬴚	aijs
𣏨	aika
𭝠	aikd
桟	aikg
𬄔	aikr
榟	aikx
𣑑	aikz
𰘢	ailb
𱣺	ailu
𮲻	ailu
桄	ailw
𣔛	ailw
𬃩	aima
剠	aimd
枟	aina
柁	ainb
𣝂	aind
𬽙	ainf
𬃋	ainl
柡	ains
栤	ains
𣑏	ains
𣑷	aiod
𪴔	aioi
槣	aiol
𰻯	aipf
椌	aipg
𣒲	aipn
𬃫	aipw
